"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Pauline at the Beach",0,"Movie","Comedy, Drama, Romance",95,"Amanda Langlet, Arielle Dombasle, Pascal Greggory",9295,7.3,"Les Films Ariane",1983,420292,"FR","French",3,"Romance"
"Peeping Tom",0,"Movie","Drama, Horror, Thriller",101,"Karlheinz Böhm, Moira Shearer, Anna Massey",10592,7.7,"Michael Powell (Theatre)",1960,14004,"UK","English",2,"Horror/Thriller"
"Performance",0,"Movie","Crime, Drama",105,"James Fox, Mick Jagger, Anita Pallenberg",10208,6.9,"Goodtimes Enterprises",1970,112278,"UK","English",1,"Horror/Thriller"
"Persepolis",1,"Movie","Animation, Biography, Drama",96,"Chiara Mastroianni, Danielle Darrieux, Catherine Deneuve",9670,8,"2.4.7. Films",2007,516699,"FR","French",4,"Drama"
"Pineapple Express",0,"Movie","Action, Comedy, Crime",111,"James Franco, Danny McBride, Kevin Corrigan",3168,6.9,"Columbia Pictures",2008,168485,"US","English",2,"Action"
"Play Misty for Me",0,"Movie","Drama, Thriller",102,"Jessica Walter, Donna Mills, John Larch",4340,7,"The Malpaso Company",1971,392049,"US","English",4,"Drama"
"Portrait of a Lady on Fire",0,"Movie","Drama, Romance",122,"Noémie Merlant, Adèle Haenel, Luàna Bajrami",985,8.1,"Lilies Films",2019,412210,"FR","French",3,"Romance"
"Possession",1,"Movie","Drama, Horror",124,"Isabelle Adjani, Sam Neill, Margit Carstensen",3657,7.4,"Gaumont",1981,337773,"EU","English",4,"Horror/Thriller"
"Possessor",0,"Movie","Horror, Mystery, Sci-Fi",103,"Gabrielle Graham, Hanneke Talbot, Matthew Garlick",997,6.5,"Rhombus Media",2020,125485,"CA","English",3,"Horror/Thriller"
"Psycho",0,"Movie","Horror, Mystery, Thriller",109,"Anthony Perkins, Vera Miles, John Gavin",1228,8.5,"Shamley Productions",1960,54954,"US","English",3,"Horror/Thriller"
"Pulp Fiction",1,"Movie","Crime, Drama",154,"Tim Roth, Amanda Plummer, John Travolta",294,8.9,"Miramax",1994,72958,"US","English",4,"Drama"
"Raging Bull",1,"Movie","Biography, Drama, Sport",129,"Robert De Niro, Cathy Moriarty, Joe Pesci",2639,8.2,"Chartoff-Winkler Productions",1980,290698,"US","English",4,"Drama"
"Rashomon",0,"Movie","Crime, Drama, Mystery",88,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",5698,8.2,"Daiei",1950,269819,"JA","Japanese",3,"Drama"
"Rear Window",1,"Movie","Mystery, Thriller",112,"James Stewart, Grace Kelly, Wendell Corey",2157,8.4,"Alfred J. Hitchcock Productions",1954,189362,"US","English",3,"Drama"
"Rebel Without a Cause",1,"Movie","Drama",111,"James Dean, Natalie Wood, Sal Mineo",4198,7.7,"Warner Bros.",1955,169802,"US","English",1,"Light"
"Red Road",0,"Movie","Drama, Mystery, Thriller",113,"Kate Dickie, Tony Curran, Martin Compston",16095,6.8,"Advanced Party Scheme",2006,169945,"UK","English",3,"Horror/Thriller"
"Repo Man",1,"Movie","Action, Comedy, Crime",92,"Harry Dean Stanton, Emilio Estevez, Tracey Walter",6452,6.9,"Edge City Productions",1984,424440,"US","English",2,"Action"
"Repulsion",1,"Movie","Drama, Horror, Thriller",105,"Catherine Deneuve, Ian Hendry, John Fraser",8941,7.7,"Compton Films",1965,225393,"UK","English",1,"Horror/Thriller"
